amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[159354411, 301011, 3.503682E9, 60日新高, 专用设备, 7.849947929382324, 34.55, 1.6488286256790161, 31.05, 2022-12-07, 华立科技, 8.914162635803223, 4369, 1.8439741125E9, {"ct":0,"days":0}, true]
[160426769, 600749, 2.9051586176000004E9, 60日新高, 旅游酒店, 2.893890619277954, 13.68, 1.1604284048080444, 12.8, 2022-12-07, 西藏旅游, 5.567498207092285, 4370, 2.9051586176000004E9, {"ct":0,"days":0}, true]
[160795172, 002083, 4.39037891424E9, 60日新高, 纺织服装, 3.288201332092285, 5.69, 1.8558601140975952, 5.34, 2022-12-07, 孚日股份, 3.6900370121002197, 4371, 4.325744697E9, {"ct":0,"days":0}, true]
[161350717, 688299, 5.4756595328E9, 60日新高, 光学光电, 3.750000238418579, 22.08, 2.047921657562256, 19.09, 2022-12-07, 长阳科技, 2.9730441570281982, 4372, 5.47565939917E9, {"ct":0,"days":0}, true]
[161557835, 000639, 5.32158051328E9, 60日新高, 食品饮料, 4.008438587188721, 5.21, 1.5882980823516846, 4.93, 2022-12-07, 西王食品, 3.102989673614502, 4373, 5.32157398596E9, {"ct":0,"days":0}, true]
[161610457, 601333, 1.622129949184E10, 60日新高, 物流行业, -0.8658008575439453, 2.54, 0.918389081954956, 2.29, 2022-12-07, 广深铁路, 1.2406489849090576, 4374, 1.294362273E10, {"ct":0,"days":0}, true]
[161905710, 605179, 5.18894E9, 60日新高, 食品饮料, 10.034013748168945, 12.94, 1.2628238201141357, 12.94, 2022-12-07, 一鸣食品, 21.6735782623291, 4375, 7.8934E8, {"ct":1,"days":1}, true]
[162356681, 000554, 2.87514400576E9, 60日新高, 石油行业, 2.0477817058563232, 6.45, 1.6530673503875732, 5.98, 2022-12-07, 泰山石油, 7.561180591583252, 4376, 2.1686331563E9, {"ct":0,"days":0}, true]
[162809263, 603388, 4.58632863744E9, 60日新高, 工程建设, 8.307692527770996, 14.3, 2.131540298461914, 14.08, 2022-12-07, 元成股份, 4.17894172668457, 4377, 4.0148002048E9, {"ct":0,"days":0}, true]
[163067601, 002563, 1.49252594864E10, 60日新高, 纺织服装, 3.1657357215881348, 5.91, 2.16697096824646, 5.54, 2022-12-07, 森马服饰, 1.5741602182388306, 4378, 1.04317099756E10, {"ct":0,"days":0}, true]
[163906743, 300765, 1.1128292356800001E10, 60日新高, 食品饮料, 3.6311240196228027, 20.82, 1.283092737197876, 17.98, 2022-12-07, 新诺威, 1.6928845643997192, 4379, 9.81708E9, {"ct":0,"days":0}, true]
[164874940, 300796, 4.57046368262E9, 60日新高, 农药兽药, 6.747890949249268, 25.61, 1.5938453674316406, 22.78, 2022-12-07, 贝斯美, 3.645580530166626, 4380, 4.57046368262E9, {"ct":0,"days":0}, true]
[167040315, 605009, 8.0360991497300005E9, 60日新高, 美容护理, 2.677509069442749, 55.46, 1.1647862195968628, 51.77, 2022-12-07, 豪悦护理, 6.24463415145874, 4381, 2.67422185317E9, {"ct":0,"days":0}, true]
[169793962, 000099, 6.13634183904E9, 60日新高, 航空机场, 1.150895118713379, 8.6, 1.5092638731002808, 7.91, 2022-12-07, 中信海直, 3.0260379314422607, 4382, 5.61780172576E9, {"ct":0,"days":0}, true]
[170124067, 002557, 2.6769721651199997E10, 60日新高, 食品饮料, 1.1494252681732178, 57.42, 0.5136764645576477, 52.8, 2022-12-07, 洽洽食品, 0.6404521465301514, 4383, 2.67695232288E10, {"ct":0,"days":0}, true]
[173639027, 603177, 3.6821143999999995E9, 60日新高, 环保行业, 4.722549915313721, 18.63, 1.3199436664581299, 17.74, 2022-12-07, 德创环保, 4.817227840423584, 4384, 3.5834799999999995E9, {"ct":0,"days":0}, true]
[175156662, 002946, 1.195319715296E10, 60日新高, 食品饮料, 3.3733134269714355, 14.67, 1.043675422668457, 13.79, 2022-12-07, 新乳业, 1.5220004320144653, 4385, 1.1649730703449999E10, {"ct":0,"days":0}, true]
[175613678, 688276, 3.1210757222399998E10, 60日新高, 生物制品, 1.408450722694397, 89.46, 1.4882348775863647, 75.6, 2022-12-07, 百克生物, 1.0066378116607666, 4386, 1.7690373691199997E10, {"ct":0,"days":0}, true]
[177619111, 002336, 4.1712E9, 近期多次涨停, 商业百货, 9.976798057556152, 9.48, 1.0155278444290161, 9.48, 2022-12-07, 人人乐, 5.069002151489258, 4387, 3.537699E9, {"ct":2,"days":2}, false]
[181309644, 601229, 8.580823934976E10, 60日新高, 银行, 0.0, 6.64, 1.0467629432678223, 6.04, 2022-12-07, 上海银行, 0.21673884987831116, 4388, 8.363957342376E10, {"ct":0,"days":0}, true]
